SMILES,SMILES_state,NLL
N#Cc1ccc(CNc2c(N3CCCC3)c(=O)c2=O)cc1,1,20.87
Cc1cc(=N)[nH]c2cc3ccccc3cc12,1,18.69
CC1(CO)CC(Cc2ccccc2)N(CC(O)C(Cc2ccccc2)NC(=O)COc2cccc(Cl)c2)C1,1,37.05
N#Cc1c(-c2cccc([N+](=O)[O-])c2)nc(SCc2ccc(F)cc2)nc1N1CCCC1,1,28.5
Cc1ccc(C(=O)NS(=O)(=O)c2ccccc2)cc1,1,17.59
CCOC(=O)N1CCC(c2nc(=O)c3c(C)nn(CC)c3[nH]2)C1,1,31.51
Cc1nc(=O)cc(C(=O)N(C)C2CCCOC2)[nH]1,1,32.13
Cc1n[nH]c(-c2cc(C(=O)N3CCC(c4cccc(CN)c4)CC3)sc2C(=O)O)c1Cl,1,32.11
O=C(c1ccc(Cl)cc1)c1ccccc1Oc1cnccn1,1,23.36
C=c1c(=CN(C)C)c(C(C)=O)c(C)n1-c1ccccc1,1,24.18
O=C1c2ccncc2C(=O)N1C1CCC(N2CCN(c3ccccc3OCC(F)(F)F)CC2)CC1,1,29.09
CCC(NCCC(c1ccccc1)c1ccc(C)cc1)C(=O)NC,1,31.14
O=C(C1CCCO1)N1CCN(Cc2csc(-c3ccc(C(F)(F)F)cc3)n2)CC1,1,25.4
CC(=C(C#N)C(=O)N1CCOCC1)c1nc2c(s1)CCCC2=O,1,35.24
C=c1[nH]oc(=O)c1=Cc1ccc(O)c(OC)c1,1,18.28
CC1(C)Oc2cc(C(=O)O)ccc2C1C(=O)NC(N)=O,1,30.08
COc1cc(C(CN)NS(=O)(=O)c2ccc(F)c(C)c2)nc(C(=O)Nc2ccc(F)cc2Br)c1OC,1,49.04
O=[N+]([O-])c1ccc(=NCc2ccc(F)cc2)[nH]c1,1,19.45
N=c1cc[nH]c(=Nc2ccc(Cl)c(Cl)c2)[nH]1,1,18.85
Nc1n[nH]c(=S)n1N,1,17.0
O=C(O)c1cncc(N2CCCS2(=O)=O)c1,1,25.17
Cn1ccc2cc(C(=O)O)ccc21,1,20.11
O=C(CSc1cc(=O)oc2cc(F)ccc12)c1ccc(Br)cc1,1,28.55
Cn1nc(-c2ccncc2)c(Cc2ccccc2)c1C1CC1,1,24.53
Cc1nn(-c2ccccc2)c(Cl)c1C(=O)Oc1cccc(O)c1C=O,1,28.95
CCN1CCCC1CNC(=O)c1ccc(CN(C)c2nc(C#N)ncc2Br)cc1,1,30.29
Cc1ccc(C(=O)N=c2c(C#N)c[nH]n2-c2ccccc2)cc1,1,20.26
CCc1ncc(N=c2cc(C)cc(C)[nH]2)cn1,1,25.66
Cc1noc(C)c1S(=O)(=O)N1CCC(C(=O)Nc2cccc(Cl)c2)CC1,1,21.38
COC1C(O)C(O)C(Oc2ccc(C=C(C)C(=O)Nc3ccc(S(N)(=O)=O)cc3)cc2O)OC1(C)C,1,30.66
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)C(O)N1CCCCC1C(=O)NC(Cc1ccccc1)C(O)C(=O)O,1,34.39
CCN(CC)C(=O)c1c(CC(C)(C)C(=O)NC(Cc2ccccc2)C(=O)OC(C)(C)C)n(C)c2ccccc12,1,38.57
Cc1cc(C)c(CNC(=O)c2cc(C(F)(F)F)cc(N(C)Cc3ccncc3)c2C)c(=O)[nH]1,1,23.07
COc1cc2sc(-c3ccc(S(N)(=O)=O)cc3)nc2cc1F,1,25.42
CCc1n[nH]c(=NC(=O)CCC(=O)NCc2cccnc2)s1,1,23.26
Cc1ccc2cc(CN=c3[nH]c(Cl)nc4nccnc34)oc2c1,1,35.92
CNC(=O)c1cccc(F)c1N=c1[nH]c(=Nc2ccc(C(=O)N3CCOCC3)cc2Cl)[nH]cc1Cl,1,26.04
Cc1ncncc1C(=O)NC1CCCCC1,1,22.36
Cc1ccc(=O)nc2ncn(C)c12,1,24.51
Cn1c(C2CC2)nc(-c2ccnc(Oc3ccccc3)n2)c1-c1ccc(F)cc1,1,23.4
Cc1ccc2c(CCN)c[nH]c2c1,1,18.51
CN(C(=O)c1ccc2sc([N+](=O)[O-])cc2c1)c1ccccc1,1,29.08
CCc1c(C(=O)NC2CCN(C(=O)CO)CC2)nnn1-c1cc(C(F)(F)F)ccc1Cl,1,31.86
N=c1[nH]c2onc(-c3cccc(F)c3)c2c(=O)n1Cc1ccncc1,1,30.14
O=C(OCC(=O)N1CCN(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,1,22.94
CCCCNc1ccc2c(c1)n(CCC(=O)O)c(=O)n2Cc1ccc(F)cc1,1,35.76
COc1cccc(-c2cn(C3CC(N=c4cccc(F)[nH]4)C3)c3nc[nH]c(=N)c23)c1,1,34.98
COc1ccc(NS(C)(=O)=O)c(C#Cc2ccc[n+]([O-])c2)c1,1,34.63
CN1Cc2c(C3=CCN(C4CCNCC4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc21,1,27.19
CCCCCCCCNc1c(F)c(F)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F,1,27.68
Cc1c(C(=O)N2CCN(c3ccccn3)CC2)oc2ccccc12,1,19.9
Cc1cn(CCN(C)CCn2cnc(C#N)c2N)nn1,1,30.33
COCCNC(=O)Nc1ccc(N(C)C)nc1,1,22.94
CC(=O)Nc1ccc(C(=O)N=c2cc(-c3cccc(C)c3)n(C(=O)OC(C)(C)C)[nH]2)nc1,1,38.57
CCCC1=Nc2cc(C(=O)NCC(=O)O)ccc2N(C)C1c1cccc(OC)c1,1,35.99
CCc1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)C1CCc2ccccc21,1,31.88
Cc1ccc2[nH]c(-c3cc(C(F)(F)F)nn3C)nc2c1,1,23.55
CC1(C)CC2CC(C)(CN2C(=S)Nc2cccc(-c3ccccc3)c2)C1,1,27.42
CCCCCn1nc(C(=O)O)c2ccccc21,1,21.68
CC(C(=O)Nc1ccc(Cl)cc1Cl)c1ccc([N+](=O)[O-])cc1,1,23.52
OC(c1ccc(F)c(F)c1)c1nc(-c2ccc(Cl)c(Cl)c2)c[nH]1,1,23.15
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,1,15.08
S=C(Nc1ccccc1)Nc1ccc(Cl)c(Cl)c1,1,16.89
CNC(=O)Cc1nc(Cc2ccccc2)no1,1,21.3
CN(CCOc1cccc2ccccc12)CCc1ccccc1,1,23.47
Cc1c(C(C)C)c(=O)on1C(=O)Nc1cccnc1,1,25.11
Nc1ccc(-c2c[nH]c(-c3cc(F)c(Cl)cc3Cl)n2)cc1,1,24.02
C=CCc1ccc(OCC)c(-c2cc(C)no2)c1,1,26.02
